,location,total_sqft,bath,price,bhk
73,5th Phase JP Nagar,1450.0,2.0,58.0,2
74,5th Phase JP Nagar,1700.0,2.0,100.0,3
75,5th Phase JP Nagar,1485.0,2.0,67.0,3
76,5th Phase JP Nagar,2500.0,5.0,110.0,5
77,5th Phase JP Nagar,600.0,1.0,30.0,1
78,5th Phase JP Nagar,1390.0,2.0,65.0,2
79,5th Phase JP Nagar,1256.0,2.0,62.8,2
80,5th Phase JP Nagar,1220.0,2.0,88.0,2
81,5th Phase JP Nagar,1000.0,2.0,48.0,2
82,5th Phase JP Nagar,1350.0,2.0,75.0,3
83,5th Phase JP Nagar,552.0,1.0,23.5,1
84,5th Phase JP Nagar,1200.0,2.0,51.0,2
85,5th Phase JP Nagar,1240.0,3.0,60.0,3
86,5th Phase JP Nagar,1550.0,3.0,75.0,3
87,5th Phase JP Nagar,1485.0,2.0,66.0,3
88,5th Phase JP Nagar,1030.0,2.0,57.0,2
89,5th Phase JP Nagar,1200.0,2.0,68.0,2
90,5th Phase JP Nagar,1190.0,2.0,61.8,2
91,5th Phase JP Nagar,4000.0,5.0,170.0,5
92,5th Phase JP Nagar,1080.0,2.0,53.0,2
93,5th Phase JP Nagar,1041.0,2.0,54.0,2
94,5th Phase JP Nagar,812.0,2.0,42.0,2
95,5th Phase JP Nagar,1010.0,2.0,57.0,2
96,5th Phase JP Nagar,1450.0,2.0,73.0,3
97,5th Phase JP Nagar,2500.0,8.0,95.0,7
98,5th Phase JP Nagar,1075.0,2.0,60.0,2
99,5th Phase JP Nagar,2400.0,4.0,228.0,4
100,6th Phase JP Nagar,1192.0,2.0,74.0,2
101,6th Phase JP Nagar,1180.0,2.0,80.0,2
102,6th Phase JP Nagar,3245.0,4.0,250.0,4
103,6th Phase JP Nagar,1645.0,3.0,100.0,3
104,6th Phase JP Nagar,1280.0,2.0,56.0,2
105,6th Phase JP Nagar,1140.0,2.0,65.0,2
106,6th Phase JP Nagar,1650.0,6.0,135.0,8
107,6th Phase JP Nagar,2040.0,3.0,200.0,3
108,6th Phase JP Nagar,1213.0,2.0,63.0,2
110,6th Phase JP Nagar,1170.0,2.0,120.0,2
111,6th Phase JP Nagar,1216.0,2.0,60.0,2
112,6th Phase JP Nagar,1460.0,2.0,80.0,2
113,6th Phase JP Nagar,2003.0,3.0,200.0,3
114,6th Phase JP Nagar,1810.0,3.0,131.0,3
115,6th Phase JP Nagar,1515.0,2.0,135.0,3
116,6th Phase JP Nagar,1192.0,2.0,75.0,2
117,6th Phase JP Nagar,1280.0,2.0,88.0,2
118,7th Phase JP Nagar,1080.0,2.0,72.0,2
119,7th Phase JP Nagar,1270.0,2.0,93.0,2
120,7th Phase JP Nagar,1420.0,2.0,100.0,3
121,7th Phase JP Nagar,1850.0,3.0,150.0,3
122,7th Phase JP Nagar,1245.0,2.0,94.0,2
123,7th Phase JP Nagar,1175.0,2.0,82.0,2
124,7th Phase JP Nagar,1400.0,2.0,95.0,3
125,7th Phase JP Nagar,2225.0,3.0,160.0,3
126,7th Phase JP Nagar,1050.0,2.0,71.0,2
127,7th Phase JP Nagar,1100.0,2.0,46.0,2
128,7th Phase JP Nagar,918.0,2.0,50.49,2
129,7th Phase JP Nagar,1450.0,2.0,100.0,3
130,7th Phase JP Nagar,1070.0,2.0,42.79,2
131,7th Phase JP Nagar,1190.0,2.0,49.98,2
132,7th Phase JP Nagar,1420.0,2.0,96.0,3
133,7th Phase JP Nagar,1680.0,3.0,120.0,3
134,7th Phase JP Nagar,1050.0,2.0,42.0,2
135,7th Phase JP Nagar,980.0,2.0,69.0,2
136,7th Phase JP Nagar,1035.0,2.0,41.39,2
137,7th Phase JP Nagar,1370.0,2.0,56.17,2
138,7th Phase JP Nagar,1180.0,2.0,72.0,2
139,7th Phase JP Nagar,5080.0,7.0,450.0,6
141,7th Phase JP Nagar,1050.0,2.0,57.0,3
144,7th Phase JP Nagar,1400.0,3.0,115.0,3
145,7th Phase JP Nagar,1075.0,2.0,42.99,2
146,7th Phase JP Nagar,1100.0,2.0,44.0,2
147,7th Phase JP Nagar,1270.0,2.0,83.0,2
149,7th Phase JP Nagar,2503.0,4.0,188.0,4
150,7th Phase JP Nagar,2200.0,3.0,190.0,3
151,7th Phase JP Nagar,1250.0,3.0,65.0,3
152,7th Phase JP Nagar,1050.0,2.0,42.0,2
154,7th Phase JP Nagar,1575.0,2.0,110.0,3
155,7th Phase JP Nagar,1850.0,3.0,140.0,3
159,7th Phase JP Nagar,1575.0,2.0,120.0,3
160,7th Phase JP Nagar,1850.0,3.0,150.0,3
161,7th Phase JP Nagar,1680.0,3.0,120.0,3
162,7th Phase JP Nagar,1175.0,2.0,82.5,2
163,7th Phase JP Nagar,3300.0,4.0,160.0,3
164,7th Phase JP Nagar,2200.0,4.0,105.0,3
165,7th Phase JP Nagar,1215.0,2.0,90.0,2
166,7th Phase JP Nagar,1050.0,2.0,75.0,2
167,7th Phase JP Nagar,1300.0,3.0,89.13,3
168,7th Phase JP Nagar,1130.0,2.0,73.0,2
169,7th Phase JP Nagar,1450.0,3.0,100.0,3
171,7th Phase JP Nagar,1050.0,2.0,50.0,2
172,7th Phase JP Nagar,1275.0,2.0,87.0,2
173,7th Phase JP Nagar,1460.0,3.0,70.0,3
174,7th Phase JP Nagar,1650.0,3.0,110.0,3
175,7th Phase JP Nagar,850.0,2.0,42.0,2
176,7th Phase JP Nagar,1680.0,3.0,117.0,3
177,7th Phase JP Nagar,1850.0,3.0,150.0,3
178,7th Phase JP Nagar,1236.0,2.0,61.33,2
179,7th Phase JP Nagar,1000.0,2.0,53.0,2
180,7th Phase JP Nagar,1680.0,3.0,125.0,3
181,7th Phase JP Nagar,1675.0,2.0,135.0,3
182,7th Phase JP Nagar,1187.0,2.0,59.0,2
183,7th Phase JP Nagar,1850.0,3.0,155.0,3
184,7th Phase JP Nagar,1000.0,2.0,61.0,2
185,7th Phase JP Nagar,1460.0,2.0,100.0,3
186,7th Phase JP Nagar,1650.0,3.0,110.0,3
187,7th Phase JP Nagar,1200.0,2.0,62.5,2
188,7th Phase JP Nagar,1000.0,2.0,70.65,2
189,7th Phase JP Nagar,1070.0,2.0,42.0,2
190,7th Phase JP Nagar,1080.0,2.0,75.0,2
191,7th Phase JP Nagar,1415.0,3.0,65.0,3
192,7th Phase JP Nagar,1680.0,3.0,125.0,3
193,7th Phase JP Nagar,1040.0,2.0,41.59,2
194,7th Phase JP Nagar,1100.0,2.0,44.0,2
195,7th Phase JP Nagar,1460.0,2.0,97.0,3
196,7th Phase JP Nagar,1120.0,2.0,65.0,2
197,7th Phase JP Nagar,1100.0,3.0,60.0,2
198,7th Phase JP Nagar,1790.0,3.0,120.0,3
199,7th Phase JP Nagar,1680.0,3.0,117.0,3
200,7th Phase JP Nagar,1050.0,2.0,77.0,2
201,7th Phase JP Nagar,1174.0,2.0,47.0,2
202,7th Phase JP Nagar,1050.0,2.0,75.0,2
203,7th Phase JP Nagar,1040.0,2.0,75.0,2
204,7th Phase JP Nagar,1400.0,2.0,95.0,3
205,7th Phase JP Nagar,1800.0,3.0,130.0,3
206,7th Phase JP Nagar,1050.0,2.0,68.0,2
208,7th Phase JP Nagar,1000.0,2.0,60.0,2
209,7th Phase JP Nagar,1680.0,3.0,125.0,3
210,7th Phase JP Nagar,980.0,2.0,86.0,2
212,7th Phase JP Nagar,1050.0,2.0,77.47,2
213,7th Phase JP Nagar,1270.0,2.0,80.0,2
215,7th Phase JP Nagar,1680.0,3.0,122.0,3
216,7th Phase JP Nagar,1070.0,2.0,42.79,2
217,7th Phase JP Nagar,1130.0,2.0,85.0,2
218,7th Phase JP Nagar,1680.0,3.0,130.0,3
220,7th Phase JP Nagar,2980.0,4.0,260.0,3
221,7th Phase JP Nagar,980.0,2.0,77.44,2
222,7th Phase JP Nagar,1680.0,3.0,112.0,3
223,7th Phase JP Nagar,1515.0,2.0,76.0,3
224,7th Phase JP Nagar,2095.0,3.0,150.0,3
226,7th Phase JP Nagar,1976.0,3.0,145.0,3
227,7th Phase JP Nagar,1600.0,2.0,110.0,3
228,7th Phase JP Nagar,1765.0,3.0,118.0,3
229,7th Phase JP Nagar,1275.0,2.0,88.0,3
230,7th Phase JP Nagar,1450.0,2.0,102.0,3
231,7th Phase JP Nagar,1575.0,2.0,110.0,3
232,7th Phase JP Nagar,1075.0,2.0,57.0,3
233,7th Phase JP Nagar,750.0,1.0,47.0,1
234,7th Phase JP Nagar,1050.0,2.0,42.0,2
235,7th Phase JP Nagar,990.0,2.0,50.0,2
236,7th Phase JP Nagar,1000.0,1.0,60.0,1
237,7th Phase JP Nagar,1680.0,2.0,92.0,3
238,7th Phase JP Nagar,1100.0,2.0,44.0,2
239,7th Phase JP Nagar,1430.0,2.0,102.0,3
240,7th Phase JP Nagar,1128.0,2.0,60.0,2
241,7th Phase JP Nagar,2100.0,3.0,190.0,3
242,7th Phase JP Nagar,1140.0,2.0,57.0,2
243,7th Phase JP Nagar,1420.0,3.0,90.0,3
244,7th Phase JP Nagar,1530.0,2.0,108.0,2
245,8th Phase JP Nagar,1073.5,2.0,54.005,2
246,8th Phase JP Nagar,451.0,1.0,29.9,1
247,8th Phase JP Nagar,1240.0,3.0,43.5,3
248,8th Phase JP Nagar,1062.0,2.0,42.47,2
249,8th Phase JP Nagar,1230.0,2.0,43.5,3
250,8th Phase JP Nagar,1455.0,3.0,73.31,3
251,8th Phase JP Nagar,871.0,2.0,55.0,2
252,8th Phase JP Nagar,1098.0,2.0,43.91,2
253,8th Phase JP Nagar,1800.0,3.0,80.0,3
254,8th Phase JP Nagar,2700.0,4.0,130.0,4
255,8th Phase JP Nagar,1080.0,2.0,38.0,2
256,8th Phase JP Nagar,1059.0,2.0,34.5,2
257,8th Phase JP Nagar,1080.0,2.0,35.0,2
258,8th Phase JP Nagar,1275.0,2.0,41.5,3
259,8th Phase JP Nagar,1062.0,2.0,42.47,2
260,8th Phase JP Nagar,500.0,1.0,31.0,1
261,8th Phase JP Nagar,1100.0,2.0,35.0,2
262,8th Phase JP Nagar,2100.0,4.0,92.0,4
263,8th Phase JP Nagar,1035.0,2.0,39.33,2
264,8th Phase JP Nagar,909.0,2.0,40.9,2
265,8th Phase JP Nagar,1431.5,3.0,72.02,3
266,8th Phase JP Nagar,1900.0,4.0,90.0,3
267,8th Phase JP Nagar,500.0,1.0,30.0,1
268,8th Phase JP Nagar,1125.0,2.0,36.94,2
269,8th Phase JP Nagar,1200.0,3.0,110.0,4
270,8th Phase JP Nagar,1100.0,2.0,35.0,2
271,8th Phase JP Nagar,1089.0,2.0,43.55,2
272,8th Phase JP Nagar,1605.0,2.0,65.0,3
273,8th Phase JP Nagar,1504.0,2.0,83.0,3
274,8th Phase JP Nagar,2600.0,4.0,115.0,4
275,8th Phase JP Nagar,1368.0,2.0,54.71,3
276,8th Phase JP Nagar,1089.0,2.0,43.55,2
277,8th Phase JP Nagar,1224.0,2.0,48.95,3
278,8th Phase JP Nagar,1513.0,2.0,62.0,2
279,8th Phase JP Nagar,1298.0,2.0,59.0,2
280,8th Phase JP Nagar,1006.0,2.0,44.0,2
281,8th Phase JP Nagar,500.0,1.0,33.0,1
282,8th Phase JP Nagar,1160.0,2.0,95.0,2
283,8th Phase JP Nagar,1245.0,2.0,59.0,2
284,8th Phase JP Nagar,1510.0,2.0,80.0,2
285,8th Phase JP Nagar,3300.0,3.0,165.0,3
286,8th Phase JP Nagar,1730.0,5.0,75.0,5
287,8th Phase JP Nagar,1296.0,2.0,51.83,3
288,8th Phase JP Nagar,1275.0,3.0,45.0,3
289,8th Phase JP Nagar,1046.0,2.0,48.0,2
290,8th Phase JP Nagar,1269.0,2.0,50.75,3
291,8th Phase JP Nagar,1408.0,3.0,80.0,3
292,8th Phase JP Nagar,1500.0,2.0,55.0,3
293,9th Phase JP Nagar,1005.0,2.0,50.0,2
294,9th Phase JP Nagar,1890.0,2.0,85.0,3
295,9th Phase JP Nagar,1100.0,2.0,65.0,2
296,9th Phase JP Nagar,1080.0,2.0,37.0,2
297,9th Phase JP Nagar,1035.0,2.0,45.0,2
298,9th Phase JP Nagar,5000.0,4.0,290.0,4
299,9th Phase JP Nagar,1164.0,2.0,56.0,2
300,9th Phase JP Nagar,1005.0,2.0,42.0,2
301,9th Phase JP Nagar,3500.0,4.0,300.0,4
302,9th Phase JP Nagar,1127.0,2.0,50.0,2
303,9th Phase JP Nagar,1005.0,2.0,43.0,2
304,9th Phase JP Nagar,835.0,2.0,37.0,2
305,9th Phase JP Nagar,1050.0,2.0,39.0,2
306,9th Phase JP Nagar,660.0,2.0,27.0,2
307,9th Phase JP Nagar,600.0,1.0,20.0,1
308,9th Phase JP Nagar,1466.0,2.0,71.0,2
309,9th Phase JP Nagar,1890.0,2.0,93.0,3
310,9th Phase JP Nagar,1079.0,2.0,60.0,2
311,9th Phase JP Nagar,1480.0,2.0,80.0,2
312,9th Phase JP Nagar,1200.0,2.0,80.0,2
313,9th Phase JP Nagar,905.0,2.0,32.0,2
314,9th Phase JP Nagar,1073.0,2.0,52.36,2
315,9th Phase JP Nagar,1719.3,2.0,88.0,3
316,9th Phase JP Nagar,1780.0,3.0,88.0,3
317,9th Phase JP Nagar,1300.0,2.0,58.0,3
318,9th Phase JP Nagar,1522.0,3.0,90.0,3
319,9th Phase JP Nagar,1571.0,3.0,65.0,3
320,9th Phase JP Nagar,1900.0,4.0,80.0,4
321,9th Phase JP Nagar,890.0,2.0,45.0,2
323,9th Phase JP Nagar,5000.0,4.0,300.0,4
325,9th Phase JP Nagar,1050.0,2.0,35.0,2
326,9th Phase JP Nagar,1331.95,2.0,69.0,2
327,AECS Layout,1100.0,2.0,45.0,2
328,AECS Layout,1028.0,2.0,42.0,2
329,AECS Layout,1199.0,2.0,65.0,2
330,AECS Layout,1080.0,2.0,55.0,2
331,AECS Layout,1123.0,2.0,64.0,2
332,AECS Layout,1308.0,2.0,60.0,2
333,AECS Layout,1005.0,2.0,55.0,2
334,AECS Layout,2000.0,3.0,90.0,3
335,Abbigere,985.0,2.0,40.39,2
336,Abbigere,2200.0,6.0,68.0,6
337,Abbigere,765.0,2.0,30.0,1
338,Abbigere,880.0,2.0,35.0,2
339,Abbigere,795.0,2.0,32.54,2
340,Abbigere,1005.0,2.0,39.59,2
341,Abbigere,734.0,1.0,19.82,1
343,Abbigere,1020.0,2.0,41.82,2
344,Abbigere,985.0,2.0,40.39,2
345,Abbigere,2500.0,6.0,81.0,6
346,Abbigere,795.0,2.0,32.54,2
347,Abbigere,1130.0,2.0,46.33,2
348,Abbigere,795.0,1.0,32.6,2
349,Abbigere,3000.0,8.0,150.0,8
350,Abbigere,985.0,2.0,38.92,2
351,Abbigere,1000.0,2.0,41.0,2
352,Abbigere,995.0,2.0,40.8,2
353,Abbigere,1020.0,2.0,40.8,2
354,Akshaya Nagar,1388.0,2.0,57.0,2
355,Akshaya Nagar,1070.0,2.0,54.0,2
356,Akshaya Nagar,1280.0,2.0,58.0,2
357,Akshaya Nagar,1662.0,3.0,85.1,3
358,Akshaya Nagar,1897.0,3.0,120.0,3
359,Akshaya Nagar,1410.0,2.0,75.0,3
360,Akshaya Nagar,1360.0,2.0,85.0,3
362,Akshaya Nagar,1410.0,2.0,80.0,3
363,Akshaya Nagar,1662.0,3.0,85.0,3
364,Akshaya Nagar,1080.0,4.0,75.0,4
365,Akshaya Nagar,1662.0,3.0,85.5,3
366,Akshaya Nagar,1280.0,2.0,60.0,2
367,Akshaya Nagar,1666.0,3.0,95.0,3
368,Akshaya Nagar,1575.0,3.0,90.0,3
369,Akshaya Nagar,1430.0,2.0,75.0,3
370,Akshaya Nagar,1419.0,2.0,73.0,3
371,Akshaya Nagar,1280.0,2.0,60.0,2
372,Akshaya Nagar,1200.0,2.0,50.0,2
373,Akshaya Nagar,1092.0,2.0,60.0,2
374,Akshaya Nagar,1690.0,3.0,85.0,3
375,Akshaya Nagar,1700.0,3.0,80.0,3
376,Akshaya Nagar,1897.0,4.0,93.0,3
377,Akshaya Nagar,1884.0,3.0,98.0,3
378,Akshaya Nagar,1314.0,2.0,68.8,2
379,Akshaya Nagar,1690.0,3.0,85.0,3
380,Akshaya Nagar,1265.0,2.0,67.0,2
381,Akshaya Nagar,1126.0,2.0,55.0,2
382,Akshaya Nagar,2300.0,4.0,102.0,3
383,Akshaya Nagar,1662.0,3.0,90.0,3
384,Akshaya Nagar,1420.0,2.0,75.0,3
385,Akshaya Nagar,1412.0,2.0,88.0,3
386,Akshaya Nagar,1434.0,3.0,84.0,3
387,Akshaya Nagar,1890.0,4.0,100.0,3
388,Akshaya Nagar,2650.0,3.0,125.0,3
389,Akshaya Nagar,1419.0,2.0,87.0,3
390,Akshaya Nagar,1300.0,2.0,54.0,2
391,Akshaya Nagar,1690.0,3.0,85.0,3
392,Akshaya Nagar,1113.0,2.0,52.0,2
393,Akshaya Nagar,1820.0,4.0,95.0,3
394,Akshaya Nagar,1100.0,2.0,48.0,2
395,Akshaya Nagar,1896.0,3.0,102.0,3
396,Akshaya Nagar,1300.0,2.0,66.0,2
397,Akshaya Nagar,1225.0,2.0,68.0,2
398,Akshaya Nagar,1179.0,2.0,51.0,2
399,Akshaya Nagar,1421.0,2.0,73.0,3
400,Akshaya Nagar,1893.0,4.0,95.0,3
401,Akshaya Nagar,900.0,2.0,45.0,2
402,Ambalipura,1105.0,2.0,75.0,2
403,Ambalipura,1800.0,3.0,110.0,3
404,Ambalipura,1150.0,2.0,80.0,2
405,Ambalipura,1250.0,2.0,66.25,2
406,Ambalipura,1332.0,2.0,79.0,2
407,Ambalipura,1730.0,3.0,120.0,3
408,Ambalipura,3500.0,3.0,198.0,3
409,Ambalipura,1230.0,2.0,66.25,2
410,Ambalipura,1351.0,2.0,77.0,2
411,Ambalipura,2550.0,4.0,149.0,4
412,Ambalipura,1817.0,3.0,102.0,3
414,Ambalipura,1303.0,2.0,80.0,2
415,Ambalipura,1607.0,2.0,112.0,3
416,Ambalipura,770.0,1.0,43.82,1
417,Ambalipura,1700.0,2.0,76.0,2
418,Ambalipura,1060.0,2.0,58.5,2
419,Ambalipura,1650.0,3.0,100.0,3
420,Ambalipura,1607.0,2.0,112.0,3
421,Ambalipura,1198.0,2.0,80.0,2
422,Ambedkar Nagar,1935.0,4.0,130.0,3
423,Ambedkar Nagar,1424.0,2.0,90.0,2
424,Ambedkar Nagar,2225.0,4.0,169.0,3
425,Ambedkar Nagar,1862.0,3.0,120.0,3
426,Ambedkar Nagar,1850.0,4.0,139.0,3
427,Ambedkar Nagar,1936.0,4.0,126.0,3
428,Ambedkar Nagar,1862.0,3.0,119.0,3
429,Ambedkar Nagar,1424.0,2.0,90.0,2
430,Ambedkar Nagar,2150.0,4.0,125.0,3
431,Ambedkar Nagar,3530.0,4.0,290.0,4
432,Ambedkar Nagar,1856.0,3.0,120.0,3
433,Ambedkar Nagar,1852.0,3.0,130.0,3
434,Ambedkar Nagar,1850.0,4.0,120.0,3
435,Ambedkar Nagar,1367.0,2.0,86.0,2
436,Ambedkar Nagar,3565.0,4.0,255.0,4
437,Ambedkar Nagar,1409.0,2.0,95.0,2
438,Ambedkar Nagar,1950.0,4.0,120.0,3
439,Ambedkar Nagar,1921.0,4.0,129.0,3
440,Ambedkar Nagar,1920.0,4.0,121.0,3
441,Ambedkar Nagar,1935.0,4.0,125.0,3
442,Ambedkar Nagar,1852.0,4.0,122.0,3
443,Ambedkar Nagar,1950.0,4.0,120.0,3
444,Ambedkar Nagar,1852.0,3.0,125.0,3
445,Ambedkar Nagar,1850.0,4.0,121.0,3
446,Ambedkar Nagar,1425.0,2.0,94.0,2
447,Ambedkar Nagar,2395.0,4.0,150.0,3
448,Amruthahalli,900.0,2.0,40.0,2
449,Amruthahalli,1200.0,2.0,55.0,2
450,Amruthahalli,1900.0,3.0,135.0,3
451,Amruthahalli,924.0,2.0,45.0,2
452,Amruthahalli,900.0,2.0,60.0,2
453,Amruthahalli,1100.0,2.0,45.0,2
454,Amruthahalli,1200.0,2.0,55.0,2
455,Amruthahalli,1350.0,2.0,63.0,3
457,Amruthahalli,1700.0,3.0,77.0,3
458,Amruthahalli,1450.0,2.0,85.0,3
459,Amruthahalli,1200.0,2.0,55.0,2
460,Amruthahalli,1250.0,2.0,79.0,2
461,Amruthahalli,1190.0,2.0,50.0,2
462,Amruthahalli,1202.0,2.0,65.0,2
463,Amruthahalli,1340.0,2.0,75.0,2
464,Amruthahalli,2650.0,4.0,175.0,3
465,Amruthahalli,1450.0,2.0,90.0,3
466,Amruthahalli,1025.0,2.0,42.0,2
467,Amruthahalli,485.0,1.0,19.5,1
468,Anandapura,1167.0,2.0,43.76,2
469,Anandapura,1000.0,2.0,55.0,2
470,Anandapura,1141.0,2.0,42.79,2
471,Anandapura,1576.0,3.0,59.1,3
472,Anandapura,1200.0,2.0,67.0,2
473,Anandapura,1200.0,2.0,58.0,2
474,Anandapura,1151.0,2.0,43.1,2
475,Anandapura,1141.0,2.0,42.75,2
476,Anandapura,900.0,2.0,48.0,2
477,Anandapura,1749.0,4.0,90.0,4
478,Anandapura,1151.0,2.0,42.9,2
479,Anandapura,1576.0,3.0,58.0,3
480,Anandapura,1250.0,2.0,45.0,2
481,Anandapura,875.0,2.0,57.0,2
482,Anandapura,1151.0,2.0,43.16,2
483,Anandapura,1200.0,2.0,58.0,2
484,Anandapura,1200.0,2.0,66.0,3
485,Anandapura,1415.0,2.0,74.0,3
486,Anandapura,1200.0,2.0,50.0,2
487,Anandapura,1141.0,2.0,50.0,2
488,Anandapura,1576.0,3.0,58.7,3
489,Ananth Nagar,500.0,1.0,14.0,1
490,Ananth Nagar,1100.0,2.0,31.5,2
491,Ananth Nagar,982.0,2.0,24.55,2
492,Ananth Nagar,500.0,2.0,14.0,1
493,Ananth Nagar,900.0,2.0,22.5,2
494,Ananth Nagar,908.0,2.0,26.0,2
495,Ananth Nagar,870.0,2.0,36.0,2
496,Ananth Nagar,937.0,2.0,35.0,2
497,Ananth Nagar,960.0,2.0,37.0,2
498,Ananth Nagar,500.0,1.0,14.0,1
499,Ananth Nagar,1000.0,2.0,29.7,2
500,Ananth Nagar,850.0,2.0,25.99,2
501,Ananth Nagar,902.0,2.0,25.26,2
502,Ananth Nagar,1470.0,3.0,54.0,3
503,Ananth Nagar,810.0,2.0,25.5,2
504,Ananth Nagar,890.0,2.0,27.0,2
505,Ananth Nagar,1200.0,2.0,36.0,2
506,Ananth Nagar,1319.0,3.0,37.75,3
507,Ananth Nagar,1319.0,3.0,42.0,3
508,Ananth Nagar,1000.0,2.0,25.0,2
509,Ananth Nagar,902.0,2.0,25.0,2
510,Ananth Nagar,930.0,2.0,25.99,2
511,Ananth Nagar,1074.0,2.0,26.85,2
512,Ananth Nagar,500.0,1.0,14.0,1
513,Ananth Nagar,1010.0,2.0,38.0,2
514,Ananth Nagar,992.0,2.0,24.8,2
515,Anekal,1200.0,1.0,36.0,2
516,Anekal,656.0,2.0,22.0,2
517,Anekal,620.0,2.0,22.0,2
518,Anekal,600.0,1.0,16.5,1
519,Anekal,925.0,2.0,40.0,2
520,Anekal,530.0,1.0,18.0,1
521,Anekal,1800.0,3.0,68.0,3
522,Anekal,1200.0,1.0,36.0,2
523,Anekal,351.0,1.0,16.0,1
524,Anekal,1035.0,2.0,38.3,2
525,Anekal,888.0,2.0,34.0,2
526,Anekal,1200.0,2.0,36.1,2
527,Anekal,700.0,1.0,19.4,2
528,Anekal,1200.0,1.0,36.0,2
529,Anekal,1200.0,2.0,36.0,4
530,Anekal,766.0,2.0,28.0,2
531,Anekal,967.0,2.0,45.0,3
532,Anekal,620.0,1.0,23.5,2
533,Anekal,1150.0,3.0,45.0,3
